name,version,directory,repository,summary,from package.json,from license,from readme
@babel/template,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/template,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/traverse,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/traverse,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/types,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/types,https://github.com/babel/babel,MIT,MIT,MIT,
@changesets/apply-release-plan,5.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/apply-release-plan,https://github.com/changesets/changesets/tree/main/packages/apply-release-plan,MIT,MIT,,
@changesets/assemble-release-plan,5.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/assemble-release-plan,https://github.com/changesets/changesets/tree/main/packages/assemble-release-plan,MIT,MIT,,
@changesets/changelog-github,0.2.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/changelog-github,https://github.com/changesets/changesets/tree/master/packages/changelog-github,MIT,MIT,,
@changesets/cli,2.16.0,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/cli,https://github.com/changesets/changesets/tree/main/packages/cli,MIT,MIT,MIT,
@changesets/config,1.6.0,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/config,https://github.com/changesets/changesets/tree/main/packages/config,MIT,MIT,,
@changesets/errors,0.1.4,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/errors,https://github.com/changesets/changesets/tree/master/packages/errors,MIT,MIT,,
@changesets/get-dependents-graph,1.2.1,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/get-dependents-graph,https://github.com/changesets/changesets/tree/main/packages/get-dependents-graph,MIT,MIT,,
@changesets/get-github-info,0.4.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/get-github-info,https://github.com/changesets/changesets/tree/master/packages/get-github-info,MIT,MIT,,
@changesets/get-release-plan,3.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/get-release-plan,https://github.com/changesets/changesets/tree/main/packages/get-release-plan,MIT,MIT,,
@changesets/get-version-range-type,0.3.2,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/get-version-range-type,https://github.com/changesets/changesets/tree/master/packages/get-version-range-type,MIT,MIT,,
@changesets/git,1.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/git,https://github.com/changesets/changesets/tree/main/packages/git,MIT,MIT,,
@changesets/logger,0.0.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/logger,https://github.com/changesets/changesets/tree/master/packages/logger,MIT,MIT,,
@changesets/parse,0.3.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/parse,https://github.com/changesets/changesets/tree/main/packages/parse,MIT,MIT,,
@changesets/pre,1.0.6,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/pre,https://github.com/changesets/changesets/tree/main/packages/pre,MIT,MIT,,
@changesets/read,0.4.7,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/read,https://github.com/changesets/changesets/tree/main/packages/read,MIT,MIT,,
@changesets/types,3.3.0,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/types,https://github.com/changesets/changesets/tree/master/packages/types,MIT,MIT,,
@changesets/types,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/cli/node_modules/@changesets/types,(none),MIT,MIT,,
@changesets/write,0.1.4,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@changesets/write,https://github.com/changesets/changesets/tree/main/packages/write,MIT,MIT,,
@emotion/cache,10.0.29,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/cache,https://github.com/emotion-js/emotion/tree/master/packages/cache,MIT,MIT,MIT,
@emotion/core,10.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/core,https://github.com/emotion-js/emotion/tree/master/packages/core,MIT,MIT,MIT,
@emotion/css,10.0.27,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/css,https://github.com/emotion-js/emotion/tree/master/packages/css,MIT,MIT,MIT,
@emotion/hash,0.8.0,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/hash,https://github.com/emotion-js/emotion/tree/master/packages/hash,MIT,MIT,MIT,
@emotion/is-prop-valid,0.8.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/is-prop-valid,https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid,MIT,MIT,MIT,
@emotion/memoize,0.7.4,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/memoize,https://github.com/emotion-js/emotion/tree/master/packages/memoize,MIT,MIT,MIT,
@emotion/serialize,0.11.16,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/serialize,https://github.com/emotion-js/emotion/tree/master/packages/serialize,MIT,MIT,MIT,
@emotion/sheet,0.9.4,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/sheet,https://github.com/emotion-js/emotion/tree/master/packages/sheet,MIT,MIT,MIT,
@emotion/styled,10.0.27,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/styled,https://github.com/emotion-js/emotion/tree/master/packages/styled,MIT,MIT,MIT,
@emotion/styled-base,10.0.31,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/styled-base,https://github.com/emotion-js/emotion/tree/master/packages/styled-base,MIT,MIT,MIT,
@emotion/stylis,0.8.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/stylis,https://github.com/emotion-js/emotion/tree/master/packages/stylis,MIT,MIT,MIT,
@emotion/unitless,0.7.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/unitless,https://github.com/emotion-js/emotion/tree/master/packages/unitless,MIT,MIT,MIT,
@emotion/utils,0.11.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@emotion/utils,https://github.com/emotion-js/emotion/tree/master/packages/serialize,MIT,MIT,MIT,
